PAZCenter	PAZAverage	PAArea	PAVolume	PAPerimeter	PALength	PAWidth	PAMaxDistance	PACEDiameter	PACircularity	PARectangularity	PAConvexity	PASolidity	PAMajorAngle	PAAspectRatio	PAElongation	PAHullPerimeter
7.67752e-09	4.87096e-09	4.51429e-16	2.19889e-24	7.59374e-08	2.54566e-08	2.10838e-08	2.55988e-08	2.39745e-08	0.983756	0.755102	0.982095	1.08772	147.393	0.828224	0.171776	7.45778e-08
2.97694e-09	2.61955e-09	4.36866e-17	1.14439e-25	2.60576e-08	1.14019e-08	4.14333e-09	1.14481e-08	7.45812e-09	0.808518	0.625	0.973911	2	5.15242	0.36339	0.63661	2.53778e-08
2.12362e-09		0	0	7.63209e-09	3.81605e-09	7.00997e-25	3.81605e-09	0	0	1	1		180	1.83697e-16	1	7.63209e-09
2.9905e-09	2.69005e-09	4.36866e-17	1.17519e-25	2.60576e-08	1.07934e-08	5.39671e-09	1.07934e-08	7.45812e-09	0.808518	0.777778	1	1	135	0.5	0.5	2.60576e-08
3.53644e-09	2.70463e-09	7.28111e-17	1.96927e-25	3.36897e-08	1.14481e-08	7.63209e-09	1.20674e-08	9.62839e-09	0.806145	0.833333	1	1	180	0.666667	0.333333	3.36897e-08
2.07504e-09		0	0	0	0	0	0	0		1			180			0
2.79676e-09	2.55217e-09	5.82489e-17	1.48661e-25	2.60576e-08	7.63209e-09	7.63209e-09	8.53294e-09	8.6119e-09	1.07802	0.777778	1	1.33333	180	1	-2.22045e-16	2.60576e-08
3.2967e-09	2.75705e-09	4.36866e-17	1.20446e-25	2.60576e-08	7.63209e-09	7.63209e-09	8.53294e-09	7.45812e-09	0.808518	0.777778	1	1	90	1	0	2.60576e-08
2.20673e-09		0	0	0	0	0	0	0		1			90			0
2.66e-09	2.67157e-09	2.91244e-17	7.78078e-26	2.06609e-08	8.44718e-09	4.82696e-09	8.53294e-09	6.08953e-09	0.857372	0.833333	1	1.33333	18.4349	0.571429	0.428571	2.06609e-08
